observation_name	taxonomic_affiliation
Methanohalophilus	root;cellular organisms;Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus
Acetohalobium	root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium
Methanolobus	root;cellular organisms;Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus
Desulfovermiculus	root;cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus
Halanaerobium	root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Halanaerobiales;Halanaerobiaceae;Halanaerobium
Methanohalobium	root;cellular organisms;Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium
Desulfovibrio	root;cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Pelobacter	root;cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Pelobacter
Marinobacter	root;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter
Methermicoccus	root;cellular organisms;Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methermicoccaceae;Methermicoccus
Marinobacterium	root;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium
Methanothermococcus	root;cellular organisms;Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus
Dethiosulfatibacter	root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Tissierellia;Tissierellia incertae sedis;Dethiosulfatibacter
Caminicella	root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Peptostreptococcales;Caminicellaceae;Caminicella
Thermococcus	root;cellular organisms;Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus
Kosmotoga	root;cellular organisms;Bacteria;Thermotogota;Thermotogae;Kosmotogales;Kosmotogaceae;Kosmotoga
Flavobacterium	root;cellular organisms;Bacteria;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Anaerophaga	root;cellular organisms;Bacteria;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Anaerophaga
Halocella	root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Halanaerobiales;Halanaerobiaceae;Halocella
Halomonas	root;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
Carboxydocella	root;cellular organisms;Bacteria;Terrabacteria group;Bacillota;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Clostridiales Family XVI. Incertae Sedis;Carboxydocella
Thermosipho	root;cellular organisms;Bacteria;Thermotogota;Thermotogae;Thermotogales;Fervidobacteriaceae;Thermosipho
Limnohabitans	root;cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans
Thiomicrospira	root;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Thiomicrospira
Desulfohalobium	root;cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfohalobium
