observation_name,taxonomic_affiliation
Methanohalophilus,Methanohalophilus
Acetohalobium,Acetohalobium
Methanolobus,Methanolobus
Desulfovermiculus,Desulfovermiculus
Halanaerobium,Halanaerobium
Methanohalobium,Methanohalobium
Desulfovibrio,Desulfovibrio
Pelobacter,Pelobacter
Marinobacter,Marinobacter
Methermicoccus,Methermicoccus
Marinobacterium,Marinobacterium
Methanothermococcus,Methanothermococcus
Dethiosulfatibacter,Dethiosulfatibacter
Caminicella,Caminicella
Thermococcus,Thermococcus
Kosmotoga,Kosmotoga
Flavobacterium,Flavobacterium
Anaerophaga,Anaerophaga
Halocella,Halocella
Halomonas,Halomonas
Carboxydocella,Carboxydocella
Thermosipho,Fervidobacteriaceae;Thermosipho
Limnohabitans,Limnohabitans
Thiomicrospira,Thiomicrospira
Desulfohalobium,Desulfohalobium
