observation_name,taxonomic_affiliation,SC01,SC02,SC03,SC04
Methanohalophilus,Methanohalophilus,61.5,43.3,1.7,42.8
Acetohalobium,Acetohalobium,0,0.5,45.4,9.8
Methanolobus,Methanolobus,0.3,18.3,0.4,15.6
Desulfovermiculus,Desulfovermiculus,0,5.3,20.4,6.4
Halanaerobium,Halanaerobium,0,13.3,4.3,9.3
Methanohalobium,Methanohalobium,0,0.1,16.2,3.3
Desulfovibrio,Desulfovibrio,0,3.2,9.1,3.6
Pelobacter,Pelobacter,0.2,9.6,0.1,4.8
Marinobacter,Marinobacter,12.1,0.4,0.1,0.1
Methermicoccus,Methermicoccus,5.7,0.1,0.1,0
Marinobacterium,Marinobacterium,5.5,0,0,0
Methanothermococcus,Methanothermococcus,2,0.8,0.1,0.4
Dethiosulfatibacter,Dethiosulfatibacter,0,0.7,0,1.3
Caminicella,Caminicella,1,0.5,0.1,0.3
Thermococcus,Thermococcus,0.6,0.5,0.2,0.3
Kosmotoga,Kosmotoga,0.5,0.6,0,0.1
Flavobacterium,Flavobacterium,0.7,0,0,0.1
Anaerophaga,Anaerophaga,0,0.7,0,0.1
Halocella,Halocella,0.5,0.1,0,0.1
Halomonas,Halomonas,0.5,0.1,0,0
Carboxydocella,Carboxydocella,0.5,0,0,0
Thermosipho,Fervidobacteriaceae;Thermosipho,0.4,0.1,0,0
Limnohabitans,Limnohabitans,0.5,0,0,0
Thiomicrospira,Thiomicrospira,0.5,0,0,0
Desulfohalobium,Desulfohalobium,0,0.3,0.1,0.1
