observation_name	taxonomic_affiliation
Cluster_1	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;unknown genus;Multi-affiliation
Cluster_2	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Multi-affiliation
Cluster_3	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation
Cluster_4	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_5	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Halanaerobacter;Halanaerobacter lacunarum
Cluster_6	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_7	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus;unknown species
Cluster_8	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation
Cluster_9	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halanaeroarchaeum;Halanaeroarchaeum sulfurireducens
Cluster_10	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;Halorhabdus sp.
Cluster_11	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Fodinibius;unknown species
Cluster_12	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Caproiciproducens;unknown species
Cluster_13	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation
Cluster_14	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;unknown genus;unknown species
Cluster_15	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Natronomonas;Multi-affiliation
Cluster_16	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;Multi-affiliation
Cluster_17	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Multi-affiliation;Multi-affiliation
