observation_name	ERR7901770 (Cav_A-1)	ERR7901771 (Cav_A-2)	ERR7901772 (Cav_B-1)	ERR7901773 (Cav_B-2)	ERR7901774 (Cav_C-1)	ERR7901775 (Cav_C-2)	ERR7901776 (Cav_D-1)	ERR7901777 (Cav_D-2)	ERR7901778 (Cav_E-1)	ERR7901779 (Cav_E-2)
Cluster_1	411	566	2	5	49770	57633	1535	1465	2168	1181
Cluster_2	5	5	7	86952	3	54	0	1519	1489	1190
Cluster_3	43376	54179	84	137	50	51	2314	235	3132	1869
Cluster_4	9	30	19	20	265	518	11289	2628	24679	25519
Cluster_5	3631	16343	20	15	2	2	1	3	9322	7127
Cluster_6	2	9	2	1	1807	2885	20038	4282	2604	2325
Cluster_7	2934	5411	9	8	4493	3450	1458	372	8767	7027
Cluster_8	0	0	2	5	6	1	1893	393	8688	8754
Cluster_9	1	0	6	3	145	192	2715	835	5795	5617
Cluster_10	29	1	3	0	1312	3103	3724	1273	1498	939
Cluster_11	2	6	0	0	3238	2738	1096	1938	142	111
Cluster_12	0	8	0	0	0	0	0	7717	0	1
Cluster_13	492	382	10	904	78	45	42	2	719	405
Cluster_14	2	0	0	0	1792	1975	9	8	2	0
Cluster_15	3	3	0	1	7	12	1959	681	827	449
Cluster_16	0	0	5042	0	0	0	0	0	0	0
Cluster_17	0	0	0	1837	0	4	0	0	0	28
Cluster_19	1913	0	0	0	1	0	0	0	0	0
Cluster_20	1	0	2361	0	0	0	0	0	0	0
Cluster_21	0	0	2561	1	0	0	0	0	0	0
Cluster_22	121	1273	0	1	0	0	0	40	0	88
Cluster_23	0	77	834	0	4	1	101	469	49	72
Cluster_24	25	15	0	0	0	1	0	1662	44	24
Cluster_26	0	0	0	0	570	442	7	1	0	1
Cluster_27	98	768	0	6	0	1	396	0	0	0
Cluster_28	186	1013	0	27	36	5	0	2	0	71
Cluster_29	0	1	0	0	30	28	139	12	1130	546
Cluster_30	1005	0	0	2	0	0	0	0	1	0
Cluster_31	0	1	1134	0	0	0	0	0	0	0
Cluster_32	0	0	1444	0	0	0	0	0	0	0
Cluster_33	1189	0	0	0	0	0	0	0	0	0
Cluster_34	0	1	0	184	0	5	2	0	76	588
Cluster_35	0	0	0	0	373	367	1	5	1	0
Cluster_36	0	1	0	0	0	0	0	1086	0	0
Cluster_37	0	0	0	0	1	3	57	4	224	405
Cluster_38	0	0	0	710	1	0	0	0	44	33
Cluster_40	0	2	0	0	0	0	0	924	0	0
Cluster_41	0	0	0	0	0	1	0	932	0	0
Cluster_42	47	107	0	0	0	0	0	719	0	0
Cluster_43	941	1	0	5	0	0	0	0	0	0
Cluster_44	0	0	0	0	70	187	221	25	111	114
Cluster_45	22	106	0	0	0	0	0	614	403	10
Cluster_46	0	0	0	0	376	354	0	1	0	0
Cluster_47	15	1	0	0	0	0	1	738	19	0
Cluster_48	0	21	0	1	133	87	0	0	264	128
Cluster_49	0	0	0	1	22	67	509	30	218	298
Cluster_50	0	0	0	2	0	0	0	693	0	0
Cluster_51	0	0	713	0	0	0	0	0	0	0
Cluster_52	0	0	1308	0	0	3	0	0	16	0
Cluster_53	0	2	0	0	18	26	0	548	0	34
Cluster_54	0	1	0	0	0	0	0	626	0	55
Cluster_55	11	30	0	2	10	17	0	662	26	283
Cluster_56	0	1	0	0	0	0	0	681	0	0
Cluster_57	99	8	1	1	0	12	0	0	471	0
Cluster_58	0	0	0	0	121	186	0	211	38	23
Cluster_59	2	2	0	10	0	0	269	519	155	30
Cluster_60	681	0	0	0	0	0	0	0	0	0
Cluster_61	43	1	0	0	0	2	0	512	0	52
Cluster_62	0	0	1045	0	0	0	0	0	27	0
Cluster_63	0	0	0	0	0	0	0	574	0	0
Cluster_64	0	1	0	0	0	0	0	519	0	0
Cluster_65	0	0	0	135	0	13	0	489	0	52
Cluster_66	0	0	0	0	0	0	11	1	150	312
Cluster_67	497	0	0	0	0	0	0	0	0	0
Cluster_68	0	0	0	0	225	350	0	0	0	0
Cluster_70	0	0	0	0	3	8	335	96	10	5
Cluster_71	8	0	0	5	0	3	0	557	0	43
Cluster_72	0	0	0	0	12	34	232	15	94	127
Cluster_73	3	283	0	0	3	0	0	112	0	109
