#comment	rdp_tax_and_bootstrap	taxonomic_affiliation	blast_subject	blast_perc_identity	blast_perc_query_coverage	blast_evalue	blast_aln_length	seed_id	observation_name	observation_sum	ERR7901770	ERR7901771	ERR7901772	ERR7901773	ERR7901774	ERR7901775	ERR7901776	ERR7901777	ERR7901778	ERR7901779
no data	Bacteria;(1.0);Bacteroidota;(1.0);Rhodothermia;(1.0);Balneolales;(1.0);Balneolaceae;(1.0);Aliifodinibius;(1.0);unknown species;(1.0);	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;unknown genus;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.3752	Cluster_1	114736	411	566	2	5	49770	57633	1535	1465	2168	1181
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Moraxellaceae;(1.0);Acinetobacter;(1.0);Acinetobacter haemolyticus;(0.94);	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.23454	Cluster_2	91224	5	5	7	86952	3	54	0	1519	1489	1190
no data	Bacteria;(1.0);Halanaerobiaeota;(1.0);Halanaerobiia;(1.0);Halanaerobiales;(1.0);Halanaerobiaceae;(1.0);Halanaerobium;(1.0);Halanaerobium saccharolyticum;(0.97);	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.6	Cluster_3	105427	43376	54179	84	137	50	51	2314	235	3132	1869
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halanaeroarchaeum;(1.0);unknown species;(1.0);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	99.606	100.0	1.95e-129	254	ERR7901770.80416	Cluster_4	64976	9	30	19	20	265	518	11289	2628	24679	25519
no data	Bacteria;(1.0);Halanaerobiaeota;(1.0);Halanaerobiia;(1.0);Halanaerobiales;(1.0);Halobacteroidaceae;(1.0);Halanaerobacter;(1.0);Halanaerobacter lacunarum;(0.95);	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Halanaerobacter;Halanaerobacter lacunarum	U32593.1.1491	99.605	100.0	1.94e-129	253	ERR7901770.27	Cluster_5	36466	3631	16343	20	15	2	2	1	3	9322	7127
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halodesulfurarchaeum;(1.0);unknown species;(1.0);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	99.213	100.0	9.09e-128	254	ERR7901770.76271	Cluster_6	33955	2	9	2	1	1807	2885	20038	4282	2604	2325
no data	Bacteria;(1.0);Desulfobacterota;(1.0);Desulfovibrionia;(1.0);Desulfovibrionales;(1.0);Desulfohalobiaceae;(1.0);Desulfovermiculus;(1.0);unknown species;(1.0);	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus;unknown species	FJ536436.1.1473	100.0	100.0	1.50e-130	253	ERR7901770.26	Cluster_7	33929	2934	5411	9	8	4493	3450	1458	372	8767	7027
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halanaeroarchaeum;(1.0);unknown species;(0.79);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	98.819	100.0	4.23e-126	254	ERR7901773.4460	Cluster_8	19742	0	0	2	5	6	1	1893	393	8688	8754
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halanaeroarchaeum;(1.0);Halanaeroarchaeum sulfurireducens;(0.63);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halanaeroarchaeum;Halanaeroarchaeum sulfurireducens	multi-subject	99.606	100.0	1.95e-129	254	ERR7901770.42991	Cluster_9	15309	1	0	6	3	145	192	2715	835	5795	5617
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halomicrobiaceae;(1.0);Halorhabdus;(0.97);Halorhabdus sp.;(0.49);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;Halorhabdus sp.	JN196513.1.1379	99.606	100.0	1.95e-129	254	ERR7901772.14596	Cluster_10	11882	29	1	3	0	1312	3103	3724	1273	1498	939
no data	Bacteria;(1.0);Bacteroidota;(1.0);Rhodothermia;(1.0);Balneolales;(1.0);Balneolaceae;(1.0);Fodinibius;(1.0);unknown species;(1.0);	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Fodinibius;unknown species	multi-subject	99.209	100.0	3.25e-127	253	ERR7901770.12275	Cluster_11	9271	2	6	0	0	3238	2738	1096	1938	142	111
no data	Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Oscillospirales;(1.0);Ruminococcaceae;(1.0);Caproiciproducens;(0.96);unknown species;(0.95);	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Caproiciproducens;unknown species	JX575893.1.1337	99.605	100.0	6.99e-129	253	ERR7901771.45038	Cluster_12	7726	0	8	0	0	0	0	0	7717	0	1
no data	Bacteria;(1.0);Halanaerobiaeota;(1.0);Halanaerobiia;(1.0);Halanaerobiales;(1.0);Halanaerobiaceae;(1.0);Halanaerobium;(1.0);Halanaerobium praevalens;(0.36);	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.584	Cluster_13	3079	492	382	10	904	78	45	42	2	719	405
no data	Bacteria;(1.0);Bacteroidota;(1.0);Rhodothermia;(1.0);Balneolales;(1.0);Balneolaceae;(1.0);Aliifodinibius;(0.47);unknown species;(0.47);	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;unknown genus;unknown species	multi-subject	98.419	100.0	7.04e-124	253	ERR7901770.59114	Cluster_14	3788	2	0	0	0	1792	1975	9	8	2	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halomicrobiaceae;(1.0);Natronomonas;(1.0);Natronomonas sp.;(1.0);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Natronomonas;Multi-affiliation	multi-subject	100.0	100.0	4.20e-131	254	ERR7901770.46452	Cluster_15	3942	3	3	0	1	7	12	1959	681	827	449
no data	Bacteria;(1.0);Bacteroidota;(1.0);Bacteroidia;(1.0);Bacteroidales;(1.0);Dysgonomonadaceae;(1.0);Proteiniphilum;(1.0);anaerobic digester metagenome;(1.0);	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901772.19	Cluster_16	5042	0	0	5042	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Burkholderiales;(1.0);Rhodocyclaceae;(1.0);Dechloromonas;(0.99);unknown species;(0.89);	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901773.14	Cluster_17	1869	0	0	0	1837	0	4	0	0	0	28
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Micromonosporales;(1.0);Micromonosporaceae;(1.0);Micromonospora;(1.0);Micromonospora siamensis;(0.44);	Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.193	Cluster_19	1914	1913	0	0	0	1	0	0	0	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Lachnospirales;(1.0);Lachnospiraceae;(1.0);[Eubacterium] ventriosum group;(1.0);unknown species;(0.99);	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Multi-affiliation;Multi-affiliation	multi-subject	98.814	100.0	1.51e-125	253	ERR7901772.47	Cluster_20	2362	1	0	2361	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Oscillospirales;(1.0);Hungateiclostridiaceae;(1.0);Fastidiosipila;(1.0);unknown species;(1.0);	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;unknown species	KC846031.1.1493	100.0	100.0	1.50e-130	253	ERR7901772.28	Cluster_21	2562	0	0	2561	1	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Burkholderiales;(1.0);Comamonadaceae;(1.0);Tepidimonas;(0.99);unknown species;(0.93);	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.1156	Cluster_22	1523	121	1273	0	1	0	0	0	40	0	88
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Pseudomonadaceae;(0.99);Pseudomonas;(0.67);Pseudomonas sp.;(0.12);	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp.	MH355542.1.1497	100.0	100.0	1.50e-130	253	ERR7901771.22083	Cluster_23	1607	0	77	834	0	4	1	101	469	49	72
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Corynebacteriales;(1.0);Corynebacteriaceae;(1.0);Corynebacterium;(1.0);Corynebacterium diphtheriae;(0.64);	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Multi-affiliation	multi-subject	100.0	100.0	4.20e-131	254	ERR7901770.9846	Cluster_24	1771	25	15	0	0	0	1	0	1662	44	24
no data	Bacteria;(1.0);Bacteroidota;(1.0);Rhodothermia;(1.0);Balneolales;(1.0);Balneolaceae;(1.0);Fodinibius;(1.0);unknown species;(1.0);	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Fodinibius;unknown species	multi-subject	98.419	100.0	7.04e-124	253	ERR7901774.166	Cluster_26	1021	0	0	0	0	570	442	7	1	0	1
no data	Bacteria;(1.0);Halanaerobiaeota;(1.0);Halanaerobiia;(1.0);Halanaerobiales;(1.0);Halobacteroidaceae;(1.0);Halanaerobaculum;(1.0);Halanaerobaculum tunisiense;(1.0);	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Halanaerobaculum;Halanaerobaculum tunisiense	EU327343.1.1498	100.0	100.0	1.50e-130	253	ERR7901770.896	Cluster_27	1269	98	768	0	6	0	1	396	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Pseudomonadaceae;(1.0);Pseudomonas;(1.0);Pseudomonas antarctica;(0.67);	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.14897	Cluster_28	1340	186	1013	0	27	36	5	0	2	0	71
no data	Bacteria;(1.0);Halanaerobiaeota;(1.0);Halanaerobiia;(1.0);Halanaerobiales;(1.0);Halanaerobiaceae;(1.0);Halanaerobium;(1.0);bacterium YC-ZSS-LKJ30;(1.0);	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901771.23522	Cluster_29	1886	0	1	0	0	30	28	139	12	1130	546
